counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
0,-229,-17,-1141,-20,54,-13,392433341,30036341,500219595,0.1875,881,0,0.002023
1,-229,-17,-1141,-20,54,-13,392433341,30036341,500219595,0.1875,881,0,0.002023
2,-229,-17,-1141,-94,74,-13,392433341,30036341,500219595,0.1875,882,0,0.002023
3,-229,-18,-1141,-71,154,59,392433341,30036341,500219595,0.1875,881,0,0.002023
4,-229,-18,-1141,-71,154,59,392433341,30036341,500219595,0.1875,881,0,0.002023
5,-229,-18,-1141,-93,74,-13,392433341,30036341,500219595,0.1875,882,0,0
6,-229,-18,-1141,-71,149,-17,392433341,30036341,500219595,0.1875,882,0,0
7,-229,-18,-1141,-71,149,-17,392433341,30036341,500219595,0.1875,882,0,0
8,-229,-18,-1141,-93,76,-12,392433341,30036341,500219595,0.1875,882,0,0
9,-229,-18,-1141,-93,76,-12,392433341,30036341,500219595,0.1875,881,0,0
10,-229,-18,-1141,-93,76,-12,392433341,30036341,500219595,0.1875,881,0,0
11,-228,-18,-1141,-94,72,-90,392433341,30036341,500219595,0.1875,880,0,0
12,-228,-18,-1140,-92,76,-13,392433341,30036341,500219595,0.1875,882,0,0
13,-228,-18,-1140,-92,76,-13,392433341,30036341,500219595,0.1875,882,0,0
14,-228,-18,-1140,-91,77,-13,392433341,30036341,500219595,0.1875,880,0,0
15,-228,-18,-1140,-91,77,-13,392433341,30036341,500219595,0.1875,882,0,0
16,-228,-18,-1140,-91,77,-13,392433341,30036341,500219595,0.1875,882,0,0
17,-228,-18,-1140,-90,77,-14,392433341,30036341,500219595,0.1875,882,0,0
18,-228,-19,-1140,-90,77,-14,392433341,30036341,500219595,0.1875,882,0,0
19,-228,-19,-1140,-90,77,-14,392433341,30036341,500219595,0.1875,882,0,0
20,-228,-19,-1140,-89,76,-14,392433341,30036341,500219595,0.1875,882,0,0
21,-228,-19,-1140,-88,76,-14,392433341,30036341,500219595,0.1875,880,0,0
22,-228,-19,-1140,-88,76,-14,392433341,30036341,500219595,0.1875,880,0,0
23,-228,-19,-1140,-88,76,-14,392433341,30036341,500219595,0.1875,881,0,0
24,-228,-20,-1141,-89,72,-92,392433341,30036341,500219595,0.1875,882,0,0
25,-228,-20,-1141,-89,72,-92,392433341,30036341,500219595,0.1875,882,0,0
26,-228,-20,-1141,-87,81,63,392433341,30036341,500219595,0.1875,881,0,0
27,-228,-20,-1142,-88,76,-14,392433341,30036341,500219595,0.1875,882,0,0
28,-228,-20,-1142,-88,76,-14,392433341,30036341,500219595,0.1875,882,0,0
29,-228,-20,-1142,-86,80,63,392433341,30036341,500219595,0.1875,882,0,0
30,-228,-20,-1143,-88,72,-92,392433341,30036341,500219595,0.1875,880,0,0
31,-228,-20,-1143,-88,72,-92,392433341,30036341,500219595,0.1875,880,0,0
32,-228,-20,-1143,-108,1,-9,392433341,30036341,500219595,0.1875,880,0,0
33,-228,-21,-1143,-11,54,-14,392433341,30036341,500219595,0.1875,882,0,0
34,-228,-21,-1143,-11,54,-14,392433341,30036341,500219595,0.1875,882,0,0
35,-228,-20,-1143,-86,76,-14,392433341,30036341,500219595,0.1875,882,0,0
36,-228,-21,-1143,-85,75,-14,392433341,30036341,500219595,0.1875,881,0,0
37,-228,-21,-1143,-85,75,-14,392433341,30036341,500219595,0.1875,881,0,0
38,-228,-21,-1143,-106,0,-10,392433341,30036341,500219595,0.1875,881,0,0
39,-228,-21,-1144,-83,79,63,392433341,30036341,500219595,0.1875,882,0,0
40,-228,-21,-1144,-83,79,63,392433341,30036341,500219595,0.1875,882,0,0
41,-228,-21,-1144,-84,74,-14,392433341,30036341,500219595,0.1875,882,0,0
42,-228,-22,-1145,-104,0,-9,392433341,30036341,500219595,0.1875,881,0,0
43,-228,-22,-1145,-104,0,-9,392433341,30036341,500219595,0.1875,881,0,0
44,-228,-22,-1145,-82,75,-14,392433341,30036341,500219595,0.1875,882,0,0
45,-228,-22,-1145,-81,75,-14,392433341,30036341,500219595,0.1875,882,0,0
46,-228,-22,-1145,-81,75,-14,392433341,30036341,500219595,0.1875,882,0,0
47,-228,-23,-1145,-100,4,68,392433341,30036341,500219595,0.1875,882,0,0
48,-228,-23,-1145,-79,74,-13,392433341,30036341,500219595,0.1875,881,0,0
49,-228,-23,-1145,-79,74,-13,392433341,30036341,500219595,0.1875,881,0,0
50,-228,-23,-1145,-80,69,-91,392433341,30036341,500219595,0.1875,881,0,0
51,-229,-23,-1145,-79,71,-13,392433341,30036341,500219595,0.1875,882,0,0
52,-229,-23,-1145,-79,71,-13,392433341,30036341,500219595,0.1875,882,0,0
53,-229,-23,-1145,-80,71,-13,392433341,30036341,500219595,0.1875,882,0,0
54,-229,-23,-1145,-80,66,-91,392433341,30036341,500219595,0.1875,881,0,0
55,-229,-23,-1145,-80,66,-91,392433341,30036341,500219595,0.1875,881,0,0
